folio,plan,plazos,precio,anticipo,semanal,total,pagado,pagoMontoFijado,pagoMontoCorriente,pagoMontoRecibido
254,nuevo,35,3799.0,799.0,180.0,7099.0,10,7099.0,2419.0,799.0
255,nuevo,15,3999.0,799.0,320.0,5599.0,8,5599.0,3039.0,799.0
258,nuevo,35,3999.0,799.0,192.0,7519.0,6,7519.0,1759.0,799.0
261,nuevo,43,3799.0,379.9,182.88,8243.83,9,8243.83,1842.94,379.9
262,nuevo,43,3999.0,399.9,192.51,8677.83,10,8677.83,2132.49,399.9
265,nuevo,35,5999.0,599.9,323.95,11938.01,10,11938.01,3515.45,599.9
270,nuevo,35,3799.0,379.9,205.15,7560.01,10,7560.01,2226.25,379.9
273,nuevo,43,5999.0,599.9,288.79,13017.83,10,13017.830000000002,3199.01,599.9
274,nuevo,15,5399.0,539.9,485.91,7828.55,10,7828.55,4913.09,539.9
279,nuevo,15,5399.0,550.0,484.9,7823.5,10,7823.5,4914.099999999999,550.0
280,nuevo,43,9999.0,0.0,395.31,16998.3,11,16998.3,3953.1,0.0
283,nuevo,43,3999.0,360.0,194.64,8729.7,10,8729.699999999999,2111.7599999999998,360.0
286,nuevo,43,9099.0,909.9,438.02,19744.83,10,19744.829999999998,4852.08,909.9
289,nuevo,15,3799.0,799.0,300.0,5299.0,13,5299.0,4399.0,799.0
290,nuevo,26,5399.0,1249.0,303.27,9134.0,13,9134.0,4888.24,1249.0
291,nuevo,35,3799.0,799.0,180.0,7099.0,13,7099.0,2959.0,799.0
293,nuevo,43,3799.0,799.0,160.47,7699.0,13,7699.0,2724.64,799.0
295,nuevo,15,3799.0,799.0,300.0,5299.0,16,5299.0,5299.0,799.0
296,nuevo,35,3999.0,799.0,192.0,7519.0,16,7519.0,3679.0,799.0
299,nuevo,35,3799.0,399.5,160.26,6008.67,17,6008.67,2963.66,399.5
300,nuevo,15,4099.0,999.0,310.0,5649.0,16,5649.0,5649.0,999.0
302,nuevo,15,3799.0,799.0,300.0,5299.0,16,5299.0,5299.0,799.0
303,nuevo,26,6099.0,1249.0,354.42,10464.0,27,10464.0,10464.0,1249.0
304,nuevo,15,5299.0,999.0,430.0,7449.0,16,7449.0,7449.0,999.0
305,nuevo,43,6499.0,624.5,282.84,12786.48,34,12786.48,9958.22,624.5
306,nuevo,43,8499.0,500.0,186.02,8499.0,40,8499.0,7754.780000000001,500.0
307,nuevo,18,5299.0,999.0,406.11,8309.0,19,8309.0,8309.0,999.0
309,nuevo,35,5299.0,999.0,258.0,10029.0,35,10029.0,9771.0,999.0
311,nuevo,15,5299.0,999.0,430.0,7449.0,16,7449.0,7449.0,999.0
312,nuevo,15,3799.0,799.0,300.0,5299.0,16,5299.0,5299.0,799.0
313,nuevo,35,8299.0,999.0,344.14,13044.0,36,13044.0,13044.0,999.0
314,nuevo,26,3799.0,799.0,219.23,6499.0,27,6499.0,6499.0,799.0
315,nuevo,20,10099.0,1249.0,442.5,10099.0,21,10099.0,10099.0,1249.0
319,nuevo,43,5299.0,999.0,230.0,10889.0,39,10889.0,9739.0,999.0
320,nuevo,26,3799.0,799.0,219.23,6499.0,27,6499.0,6499.0,799.0
321,nuevo,35,10099.0,2600.0,449.94,18347.9,36,18347.9,18347.9,2600.0
324,nuevo,43,8299.0,999.0,144.3,7204.0,42,7204.000000000001,6915.3,999.0
325,nuevo,15,3799.0,799.0,300.0,5299.0,16,5299.0,5299.0,799.0
333,nuevo,26,3799.0,799.0,219.23,6499.0,27,6499.0,6499.0,799.0
334,nuevo,15,3799.0,799.0,300.0,5299.0,16,5299.0,5299.0,799.0
343,nuevo,26,6599.0,499.0,375.38,10259.0,27,10259.0,10259.0,499.0
348,nuevo,43,8599.0,1250.0,290.54,13743.3,44,13743.300000000001,13743.300000000001,1250.0
349,nuevo,15,6399.0,500.0,589.9,9348.5,16,9348.5,9348.5,500.0
353,nuevo,26,5599.0,1000.0,336.08,9738.1,27,9738.1,9738.1,1000.0
354,nuevo,20,6999.0,1000.0,299.95,6999.0,21,6999.0,6999.0,1000.0
355,nuevo,20,7699.0,1000.0,334.95,7699.0,21,7699.0,7699.0,1000.0
356,nuevo,26,6399.0,1500.0,358.0,10808.1,27,10808.1,10808.1,1500.0
361,nuevo,15,24000.0,4800.0,1920.0,33600.0,16,33600.0,33600.0,4800.0
362,nuevo,20,7199.0,500.0,334.95,7199.0,21,7199.0,7199.0,500.0
364,nuevo,43,6500.0,0.0,151.16,6500.0,44,6500.0,6500.0,0.0
365,nuevo,15,7199.0,2499.0,470.0,9549.0,16,9549.0,9549.0,2499.0
