folio,pagoMontoEsperado,pagoMontoRecibido,montoFijadoPagado,montoEsperadoPagado,folio,precio,anticipo,semanal,total
235,9169.0,999.0,9169.0,9169.0,27,5299.0,999.0,314.23,9169.0
238,10029.0,999.0,10029.0,9513.0,36,5299.0,999.0,258.0,10029.0
240,9100.55,0.0,9100.55,0.0,27,6499.0,0.0,350.02,9100.55
241,10534.84,1720.0,10534.84,1720.0,14,7699.0,1720.0,678.06,10534.84
242,5599.0,799.0,5599.0,3039.0,16,3999.0,799.0,320.0,5599.0
243,8159.0,799.0,8159.0,1654.8,44,3999.0,799.0,171.16,8159.0
244,7519.0,799.0,7519.0,1951.0,36,3999.0,799.0,192.0,7519.0
246,7519.0,799.0,7519.0,1951.0,36,3999.0,799.0,192.0,7519.0
247,10441.15,624.5,10441.15,1765.95,44,6399.0,624.5,228.29,10441.15
254,7099.0,799.0,7099.0,2419.0,36,3799.0,799.0,180.0,7099.0
255,5599.0,799.0,5599.0,3039.0,16,3999.0,799.0,320.0,5599.0
258,7519.0,799.0,7519.0,1759.0,36,3999.0,799.0,192.0,7519.0
261,8243.83,379.9,8243.83,1842.94,44,3799.0,379.9,182.88,8243.83
262,8677.83,399.9,8677.83,2132.49,44,3999.0,399.9,192.51,8677.83
265,11938.01,599.9,11938.01,3515.45,36,5999.0,599.9,323.95,11938.01
270,7560.01,379.9,7560.01,2226.25,36,3799.0,379.9,205.15,7560.01
273,13017.830000000002,599.9,13017.830000000002,3199.01,44,5999.0,599.9,288.79,13017.83
274,7828.55,539.9,7828.55,4913.09,16,5399.0,539.9,485.91,7828.55
279,7823.5,550.0,7823.5,4914.099999999999,16,5399.0,550.0,484.9,7823.5
280,16998.3,0.0,16998.3,3953.1,44,9999.0,0.0,395.31,16998.3
283,8729.699999999999,360.0,8729.699999999999,2111.7599999999998,44,3999.0,360.0,194.64,8729.7
286,19744.829999999998,909.9,19744.829999999998,4852.08,44,9099.0,909.9,438.02,19744.83
289,5299.0,799.0,5299.0,4399.0,16,3799.0,799.0,300.0,5299.0
290,9134.0,1249.0,9134.0,4888.24,27,5399.0,1249.0,303.27,9134.0
291,7099.0,799.0,7099.0,2959.0,36,3799.0,799.0,180.0,7099.0
293,7699.0,799.0,7699.0,2724.64,44,3799.0,799.0,160.47,7699.0
295,5299.0,799.0,5299.0,5299.0,16,3799.0,799.0,300.0,5299.0
296,7519.0,799.0,7519.0,3679.0,36,3999.0,799.0,192.0,7519.0
299,6008.67,399.5,6008.67,2963.66,36,3799.0,399.5,160.26,6008.67
300,5649.0,999.0,5649.0,5649.0,16,4099.0,999.0,310.0,5649.0
302,5299.0,799.0,5299.0,5299.0,16,3799.0,799.0,300.0,5299.0
303,10464.0,1249.0,10464.0,10464.0,27,6099.0,1249.0,354.42,10464.0
304,7449.0,999.0,7449.0,7449.0,16,5299.0,999.0,430.0,7449.0
305,12786.48,624.5,12786.48,9958.22,44,6499.0,624.5,282.84,12786.48
306,8499.0,500.0,8499.0,7754.780000000001,44,8499.0,500.0,186.02,8499.0
307,8309.0,999.0,8309.0,8309.0,19,5299.0,999.0,406.11,8309.0
309,10029.0,999.0,10029.0,9771.0,36,5299.0,999.0,258.0,10029.0
311,7449.0,999.0,7449.0,7449.0,16,5299.0,999.0,430.0,7449.0
312,5299.0,799.0,5299.0,5299.0,16,3799.0,799.0,300.0,5299.0
313,13044.0,999.0,13044.0,13044.0,36,8299.0,999.0,344.14,13044.0
314,6499.0,799.0,6499.0,6499.0,27,3799.0,799.0,219.23,6499.0
315,10099.0,1249.0,10099.0,10099.0,21,10099.0,1249.0,442.5,10099.0
319,10889.0,999.0,10889.0,9739.0,44,5299.0,999.0,230.0,10889.0
320,6499.0,799.0,6499.0,6499.0,27,3799.0,799.0,219.23,6499.0
321,18347.9,2600.0,18347.9,18347.9,36,10099.0,2600.0,449.94,18347.9
324,7204.000000000001,999.0,7204.000000000001,6915.3,44,8299.0,999.0,144.3,7204.0
325,5299.0,799.0,5299.0,5299.0,16,3799.0,799.0,300.0,5299.0
333,6499.0,799.0,6499.0,6499.0,27,3799.0,799.0,219.23,6499.0
334,5299.0,799.0,5299.0,5299.0,16,3799.0,799.0,300.0,5299.0
343,10259.0,499.0,10259.0,10259.0,27,6599.0,499.0,375.38,10259.0
348,13743.300000000001,1250.0,13743.300000000001,13743.300000000001,44,8599.0,1250.0,290.54,13743.3
349,9348.5,500.0,9348.5,9348.5,16,6399.0,500.0,589.9,9348.5
353,9738.1,1000.0,9738.1,9738.1,27,5599.0,1000.0,336.08,9738.1
354,6999.0,1000.0,6999.0,6999.0,21,6999.0,1000.0,299.95,6999.0
355,7699.0,1000.0,7699.0,7699.0,21,7699.0,1000.0,334.95,7699.0
356,10808.1,1500.0,10808.1,10808.1,27,6399.0,1500.0,358.0,10808.1
361,33600.0,4800.0,33600.0,33600.0,16,24000.0,4800.0,1920.0,33600.0
362,7199.0,500.0,7199.0,7199.0,21,7199.0,500.0,334.95,7199.0
364,6500.0,0.0,6500.0,6500.0,44,6500.0,0.0,151.16,6500.0
365,9549.0,2499.0,9549.0,9549.0,16,7199.0,2499.0,470.0,9549.0
368,10119.0,999.0,10119.0,10119.0,27,5799.0,999.0,350.77,10119.0
369,10692.9,1350.0,10692.9,10692.9,36,5799.0,1350.0,266.94,10692.9
372,7849.0,499.0,7849.0,7849.0,36,3999.0,499.0,210.0,7849.0
375,11889.0,499.0,11889.0,11889.0,44,7199.0,499.0,264.88,11889.0
378,5599.0,799.0,5599.0,5599.0,16,3999.0,799.0,320.0,5599.0
379,9339.0,1499.0,9339.0,9339.0,27,6399.0,1499.0,301.54,9339.0
380,10404.0,999.0,10404.0,10404.0,36,6699.0,999.0,268.71,10404.0
382,9648.300000000001,300.0,9648.300000000001,9648.300000000001,44,5799.0,300.0,217.4,9648.3
383,6599.0,0.0,6599.0,6599.0,21,6599.0,0.0,329.95,6599.0
384,6274.0,499.0,6274.0,6274.0,36,3999.0,499.0,165.0,6274.0
385,10904.0,1499.0,10904.0,10904.0,36,7199.0,1499.0,268.71,10904.0
386,44850.0,6000.0,44850.0,44850.0,36,24500.0,6000.0,1110.0,44850.0
389,7949.0,1499.0,7949.0,7949.0,16,5799.0,1499.0,430.0,7949.0
390,9799.0,1999.0,9799.0,9799.0,16,7199.0,1999.0,520.0,9799.0
392,5599.0,799.0,5599.0,5599.0,16,3999.0,799.0,320.0,5599.0
394,6449.0,499.0,6449.0,6449.0,44,3999.0,499.0,138.37,6449.0
395,6879.0,799.0,6879.0,6879.0,27,3999.0,799.0,233.85,6879.0
396,10904.0,1499.0,10904.0,10904.0,36,7199.0,1499.0,268.71,10904.0
397,6700.0,810.0,6700.0,6700.0,21,6700.0,810.0,294.5,6700.0
399,10619.0,1499.0,10619.0,10619.0,27,7199.0,1499.0,350.77,10619.0
400,7298.5,1000.0,7298.5,7298.5,16,5199.0,1000.0,419.9,7298.5
401,9299.0,0.0,9299.0,9299.0,21,9299.0,0.0,464.95,9299.0
403,12019.0,999.0,12019.0,12019.0,43,6799.0,999.0,262.38,12019.0
404,11869.0,1499.0,11869.0,11869.0,27,7599.0,1499.0,398.85,11869.0
405,8698.5,1500.0,8698.5,8698.5,16,6299.0,1500.0,479.9,8698.5
406,10344.0,1249.0,10344.0,10344.0,27,6599.0,1249.0,349.81,10344.0
407,6000.0,1000.0,6000.0,6000.0,21,6000.0,1000.0,250.0,6000.0
408,2500.0,0.0,2500.0,2500.0,11,2500.0,0.0,250.0,2500.0
409,8649.0,999.0,8649.0,8649.0,27,5499.0,999.0,294.23,8649.0
414,7200.0,1800.0,7200.0,7200.0,21,7200.0,1800.0,270.0,7200.0
417,3999.0,749.0,3999.0,3999.0,21,3999.0,749.0,162.5,3999.0
418,11499.0,2499.0,11499.0,11499.0,16,8499.0,2499.0,600.0,11499.0
419,8999.0,499.0,8999.0,8999.0,27,5499.0,499.0,326.92,8999.0
420,10498.5,0.0,10498.5,10498.5,36,6999.0,0.0,299.96,10498.5
421,15299.0,1999.0,15299.0,15299.0,44,8999.0,1999.0,309.3,15299.0
422,9399.0,999.0,9399.0,9399.0,16,6599.0,999.0,560.0,9399.0
423,9399.0,999.0,9399.0,9399.0,16,6599.0,999.0,560.0,9399.0
424,8984.0,1249.0,8984.0,8984.0,27,5799.0,1249.0,297.5,8984.0
425,14214.859999999999,1500.0,14214.859999999999,14214.859999999999,27,8799.0,1500.0,489.03,14214.86
426,9100.22,0.0,9100.22,9100.22,27,7699.0,0.0,350.01,9100.22
427,12791.99,0.0,12791.99,0.0,27,8799.0,0.0,492.01,12791.99
430,7697.71,2565.48,7697.71,2724.64,44,3799.0,799.0,160.47,7699.02
431,7698.87,2403.85,7698.87,2564.17,44,3799.0,799.0,160.47,7699.02
443,7099.03,2239.0,7099.03,2239.0,36,3799.0,799.0,180.0,7099.03
444,7099.03,1159.0,7099.03,1159.0,36,3799.0,799.0,180.0,7099.03
445,9278.4,3211.7400000000002,9278.4,3211.7400000000002,27,5799.0,0.0,356.86,9278.4
458,4299.0,999.0,4299.0,1164.0,21,4299.0,999.0,165.0,4299.0
460,11919.0,999.0,11919.0,1311.0,36,6199.0,999.0,312.0,11919.0
461,8398.699999999999,1000.0,8398.699999999999,3219.7,21,8399.0,1000.0,369.95,8399.0
462,5599.0,799.0,5599.0,1119.0,16,3999.0,799.0,320.0,5599.0
463,5599.0,799.0,5599.0,3679.0,16,3999.0,799.0,320.0,5599.0
464,11716.59,1249.0,11716.59,2952.59,44,5799.0,1249.0,243.37,11714.0
465,9748.5,1200.0,9748.5,2339.8,16,6899.0,1200.0,569.9,9748.5
466,5598.0,800.0,5598.0,2399.5,16,3999.0,800.0,319.9,5598.5
467,8255.16,250.0,8255.16,3910.96,36,4699.0,250.0,228.81,8258.2
468,8255.16,250.0,8255.16,3910.96,36,4699.0,250.0,228.81,8258.2
469,10500.0,0.0,10500.0,2625.0,21,10500.0,0.0,525.0,10500.0
470,5599.0,799.0,5599.0,2079.0,16,3999.0,799.0,320.0,5599.0
